"group.all" "pa" "lon" "lat" "X1Km_.eigenvariables.1" "X1Km_.eigenvariables.2" "X1Km_.eigenvariables.3" "X1Km_.eigenvariables.4" "X1Km_.eigenvariables.5" "X1Km_.eigenvariables.6" "X1Km_.eigenvariables.7" "X1Km_.eigenvariables.8" "X1Km_.eigenvariables.9" "X1Km_.eigenvariables.10"
"49" 1 0 -56.035559082 1.031103516 22.9872068193774 -11.9668483636799 -12.8962763002058 6.43590799451456 -4.74592376577573 0.851090756401532 -0.320763577410348 7.62781136061079 2.35439283614914 3.73940694681064
"50" 1 0 -40.355559082 -13.278896484 14.3208808556518 -11.1351947134359 -8.81854018589095 4.73617994191554 -2.04283958821562 2.96442230729738 -0.768218393199051 8.59271465470002 3.57080112792691 3.1185256687595
"51" 2 0 -71.765559082 -5.788896484 22.7168350093384 -9.39774105028256 -12.9605683413377 6.86552809456559 -6.27892466407415 1.1816868886922 0.103275816106433 10.032157201467 3.66895179102356 3.17988595360246
"52" 1 0 -46.925559082 -13.178896484 19.6738372107936 -14.3351260084986 -13.0002186907274 5.90519867439742 -5.2530597971038 1.12607983396227 -0.477759162955054 8.22482135967814 2.48192233191557 3.21407343984903
"53" 2 0 -56.455559082 -3.168896484 24.322299756629 -11.3360597389964 -11.7363907513243 6.19867105714495 -5.95105246831913 1.21382244617752 -0.759734816381588 7.84725609468373 3.11121768614464 3.53525150584661
"54" 1 0 -58.265559082 -6.848896484 22.1536161869835 -11.9376481570484 -14.1818589365205 7.68379069928391 -4.39779240185223 1.62102185065651 -0.430177529469998 7.95031315671828 1.41768698023437 2.51953737525385
"55" 1 0 -42.295559082 -18.278896484 16.0283498415979 -12.415761269738 -13.3465182537675 6.35330731757883 -5.01138930687232 1.11674630771341 -0.31828174518061 8.22549317926476 2.60335840489913 3.00152317735921
"56" 2 0 -40.355559082 -14.278896484 14.8745159039825 -12.4136558034674 -8.70441267720471 4.86520055193469 -4.83894936650859 1.20390323744245 -0.560188546246095 8.87780459912145 2.07820113815123 2.05206569806733
"57" 3 0 -39.945559082 -11.338896484 16.6565069747686 -14.2747831290465 -9.2871032121938 7.69585563434329 -4.67134581624777 1.12517998210924 0.338814674890081 9.15991574664597 2.51305478052543 3.71535754045611
"58" 2 0 -42.175559082 -19.798896484 14.4161515294177 -11.2560867266564 -13.561759404358 4.92098801650424 -5.4878281276264 1.36808485799822 -1.09001543151316 8.7138273322879 3.37976458423835 2.51158373513948
"59" 1 0 -41.945559082 -22.008896484 16.0904798710319 -10.4982404164304 -12.0879605557252 6.66725600988163 -5.68845454409558 1.60096355047331 -1.02510566503635 8.11021955077111 2.15365729015718 1.93211535388896
"60" 1 0 -48.225559082 -13.588896484 19.4184255909894 -14.1576610004253 -13.0866442517377 5.66661856980111 -5.94931736588063 1.94254553956203 -1.60578236694567 8.13118486343301 4.22644155900053 2.80866860653833
"61" 3 0 -40.165559082 -9.708896484 16.341560764717 -16.3982448125224 -10.3017069535163 7.86128732271663 -2.73794721280409 3.29508485114086 -0.720894635087601 9.5326862530313 3.67558174877164 4.13254106856697
"62" 2 0 -41.255559082 -17.288896484 16.5492517460551 -13.7704595018485 -11.8150727780989 7.12377599886079 -5.61503720952482 1.09285362067601 -0.363763431741497 8.48088340352918 4.16911857773027 3.5408774071209
"63" 2 0 -55.515559082 1.481103516 22.4884359805784 -12.4110245827323 -12.7057746347394 5.89914624681601 -3.99517524766444 2.02805326560081 -0.927411417155722 7.60181327695307 3.01003959376399 3.97629239044561
"64" 2 0 -39.275559082 -16.468896484 19.8652368930936 -9.7539609429487 -8.96399016135742 7.71950840761708 -5.6441687638425 1.30521135737685 -0.321559310302932 8.47503176104673 3.07182552561974 2.79572218735145
"65" 2 0 -42.305559082 -11.988896484 14.0072556861234 -14.3408984037504 -12.0964707085671 5.80145331736756 -0.878310465164755 1.85403925495654 0.264361397918119 8.7058498781916 4.09187643253131 4.85497221853519
"66" 3 0 -45.475559082 -8.318896484 19.5051543895034 -15.5514390343205 -12.2518883740056 6.62944514803679 -3.74059686598721 3.49784819137455 -1.6646391297758 8.85784343045445 3.73343695969709 4.27390326829488
"67" 3 0 -46.765559082 -14.338896484 19.3153574091111 -14.4458504327232 -11.963914687624 6.51463737386329 -4.15323079359213 1.59475978723128 -0.562195566690901 7.9282093854617 3.67334172260689 2.97597949275748
"68" 3 0 -63.385559082 -12.438896484 20.6567045560309 -13.8677949797841 -13.4885913498273 8.70656950363918 -3.87087421093052 1.43044042338358 -0.0497308017770739 8.37025675604896 1.69960126869974 3.14905112530888
"69" 3 0 -59.335559082 -2.718896484 25.0698469708234 -10.2591594865964 -11.2578034391692 7.79391869428082 -3.74361127576009 0.283031190735604 0.378546430498246 8.23257285819158 2.4346111338398 2.74186547687539
"70" 1 0 -46.885559082 -9.018896484 19.5728530648586 -14.5791977242406 -13.2752077731849 6.75658531639225 -3.43662154997485 1.48570369854964 -0.00406948004643359 8.47570421136382 2.12352671664046 4.10709693931067
"71" 3 0 -53.575559082 1.621103516 22.9577335716337 -10.8019387017259 -12.2753968608016 6.28359217919482 -3.81061315650703 0.956789276768568 -0.0846530034497209 7.33589123501002 1.61333812498733 3.42546735245103
"72" 2 0 -47.755559082 -21.928896484 15.3858363041864 -9.99155822470987 -13.3887583286992 6.16508631643256 -2.67702841132407 1.88028766395044 -0.353550063407326 8.34161032137699 2.35436559899138 2.13674889973421
"73" 2 0 -54.815559082 -4.438896484 21.4857254094118 -11.7873772456362 -12.3111504135348 5.16912421501627 -5.85770854356404 1.17396916753235 -0.78908666522288 7.91471084660177 3.4243722684872 3.88848783092528
"74" 1 0 -43.055559082 -17.658896484 15.496962552431 -13.3249916720412 -13.1257677005838 5.71460284424125 -5.18165363422429 1.09173746672406 -0.530282033435967 8.39713571087611 3.68397838370327 3.01847978513281
"75" 2 0 -46.655559082 -13.108896484 19.3109063935083 -13.9696795840792 -13.0789776675242 5.30874100900407 -5.45471483340123 0.858099205216129 -0.358652494355775 8.02199624120551 3.00435351988782 3.43791323723811
"76" 1 0 -46.835559082 -13.928896484 19.5967497294234 -14.716384172759 -11.889103882388 6.38631578365156 -3.91722623912336 2.5816451639845 -0.905801980297196 8.46622991303997 2.39585729174127 3.22239076110946
"77" 2 0 -60.345559082 -2.628896484 24.9326208853017 -10.2306596912017 -11.4994137626406 6.93791820878207 -5.27797764008631 0.988362857777741 -0.178376303612099 8.49313148716596 2.81497065669819 3.07916606419011
"78" 3 0 -42.455559082 -5.978896484 20.6286643712267 -15.1924277577528 -12.8042725032834 7.04508142503509 -5.78367482115926 1.45433058710455 -0.84213354896982 7.7535481150064 2.54850438614082 3.67535095515184
"79" 2 0 -38.715559082 -9.778896484 15.7411815367613 -13.9049594477604 -9.3079012025503 7.54091856874262 -3.7852584460784 1.39915762926884 0.474101421393244 8.84961180828542 1.71740463689744 4.32173054147996
"80" 2 0 -44.305559082 -14.218896484 17.1440534798712 -15.5507848556348 -12.5558145247475 7.15761568948314 -4.75467451318643 0.931542415307636 0.038244835487078 8.6077933693405 2.53917748664981 3.78049655649741
"81" 1 0 -56.285559082 -7.618896484 21.8496062005939 -12.5481552960246 -14.9824006807464 6.66464732304132 -5.61037831860959 1.70324253752623 -1.35542427631104 7.19652137451885 2.970473358465 4.29609625113767
"82" 2 0 -53.905559082 -5.398896484 21.9376750908865 -12.4298710041382 -12.838482328275 6.79189148907249 -3.23916402865154 2.04632848343107 -0.640663955210317 7.80131726888148 2.48974629428024 3.71762484394361
"83" 1 0 -51.075559082 -1.598896484 24.5357864536099 -11.2541142439066 -12.0085506396503 7.07934426202405 -5.22658302549977 0.652377393879247 -0.18143330709392 8.1108105532922 3.66110775622084 3.73494113051836
