"group.all" "pa" "lon" "lat" "wc2.0_bio_10m_04" "wc2.0_bio_10m_05" "wc2.0_bio_10m_13" "wc2.0_bio_10m_14"
"131" 2 0 -42.0833333333333 -23.0833333333333 198.359304969869 28.0499992370605 148 32
"132" 3 0 -51.25 -29.75 355.274280551828 28.7744998931885 147 102
"133" 2 0 -50.4166666666667 -21.75 270.296390406325 31.4832496643066 204 24
"134" 1 0 -51.4166666666667 -29.4166666666667 344.654414358521 27.2285003662109 154 109
"135" 3 0 -47.25 -23.9166666666667 247.72339150216 25.5599994659424 267 64
"136" 1 0 -43.25 -21.25 222.21151573737 30.224250793457 257 16
"137" 1 0 -49.25 -23.5833333333333 263.507628286617 29.6517505645752 179 42
"138" 2 0 -51.9166666666667 -25.5833333333333 308.675940177654 26.7957496643066 190 107
"139" 2 0 -54.0833333333333 -28.0833333333333 383.358622833209 30.5615005493164 189 135
"140" 1 0 -52.9166666666667 -24.25 292.066550745538 29.2202491760254 196 76
"141" 3 0 -41.75 -19.4166666666667 199.849211736493 30.1159992218018 217 20
"142" 1 0 -47.5833333333333 -22.0833333333333 226.184397113379 28.992000579834 249 22
"143" 3 0 -42.4166666666667 -22.25 246.971130520618 26.9512500762939 244 27
"144" 3 0 -52.25 -27.9166666666667 350.798688054114 28.1310005187988 201 122
"145" 2 0 -52.4166666666667 -30.25 407.889336971212 29.5380001068115 138 98
"146" 3 0 -44.4166666666667 -22.9166666666667 230.380510663641 28.79909324646 266 40
"147" 1 0 -39.9166666666667 -16.4166666666667 164.26407652823 30.4204998016357 116 40
"148" 1 0 -51.25 -30.4166666666667 363.398137925461 28.1757469177246 132 94
"149" 2 0 -44.0833333333333 -19.5833333333333 192.353031766939 30.5189990997314 281 12
"150" 3 0 -52.9166666666667 -29.5833333333333 377.883258267997 27.6359996795654 159 92
"151" 3 0 -40.9166666666667 -16.4166666666667 179.628467434485 30.6975002288818 165 20
"152" 3 0 -52.4166666666667 -27.9166666666667 352.673044845105 28.480749130249 197 122
"153" 1 0 -46.5833333333333 -20.9166666666667 223.639479332097 28.5305004119873 280 16
"154" 2 0 -40.25 -18.0833333333333 180.488885701278 31.8027496337891 167 41
"155" 2 0 -53.4166666666667 -29.5833333333333 390.646670604015 29.1725006103516 147 117
"156" 2 0 -49.9166666666667 -28.75 299.791979091342 24.5362491607666 169 111
"157" 1 0 -48.4166666666667 -27.4166666666667 313.485618632278 29.0029201507568 186 105
"158" 3 0 -42.0833333333333 -19.25 191.208112473924 31.9745006561279 225 17
"159" 1 0 -52.9166666666667 -26.0833333333333 341.528672387822 28.5202503204346 210 120
"160" 3 0 -41.75 -19.5833333333333 204.125872978887 30.9409999847412 212 19
"161" 1 0 -42.9166666666667 -19.5833333333333 220.945868001163 29.21875 310 13
"162" 2 0 -46.9166666666667 -24.25 251.82106808025 30.7308025360107 278 74
"163" 1 0 -47.4166666666667 -23.75 243.692220567848 25.6047496795654 251 53
"164" 3 0 -54.5833333333333 -29.5833333333333 406.057633777984 30.0437507629395 160 128
"165" 1 0 -41.0833333333333 -16.4166666666667 181.291497484701 30.5550003051758 169 13
"166" 3 0 -55.25 -30.25 428.297278344161 29.7302494049072 148 114
"167" 3 0 -47.9166666666667 -22.9166666666667 246.066868994476 29.64674949646 215 25
"168" 1 0 -53.0833333333333 -27.0833333333333 390.2334326152 30.1200008392334 206 137
"169" 3 0 -45.0833333333333 -23.25 260.211006624335 25.8292503356934 274 37
"170" 2 0 -52.75 -32.4166666666667 409.444341566717 27.4365005493164 122 75
"171" 3 0 -52.9166666666667 -31.5833333333333 410.610658572166 28.2082500457764 139 89
"172" 3 0 -55.0833333333333 -31.0833333333333 443.379797571666 29.7880001068115 137 104
"173" 2 0 -52.0833333333333 -28.25 348.687254560163 27.3554992675781 200 122
"174" 2 0 -49.25 -28.4166666666667 317.858180409056 28.7502498626709 181 81
"175" 1 0 -52.4166666666667 -31.25 402.440999437994 27.4405002593994 142 89
"176" 1 0 -40.5833333333333 -18.25 182.023658873026 31.7257499694824 175 32
"177" 3 0 -43.25 -22.5833333333333 226.691885748327 30.3344993591309 258 51
