"cv1" "cv2" "cv3" "cv4" "pa" "lon" "lat" "wc2.0_bio_10m_01" "wc2.0_bio_10m_04" "wc2.0_bio_10m_05" "wc2.0_bio_10m_09" "wc2.0_bio_10m_13" "wc2.0_bio_10m_14" "wc2.0_bio_10m_19"
"87" 2 1 2 3 0 -45.4166666666667 -21.5833333333333 19.6809376478195 255.2386890172 30.0982494354248 16.2662502924601 278 20 85
"88" 3 3 1 2 0 -43.4166666666667 -20.75 19.7010521094004 220.383573955796 29.2492504119873 16.7463750839233 270 17 57
"89" 3 2 2 1 0 -43.25 -20.9166666666667 19.7235415776571 224.974331753184 29.3929996490479 16.7320415178935 263 19 59
"90" 2 3 1 2 0 -45.5833333333333 -19.75 21.3055207331975 230.075766017249 31.9529991149902 18.0360415776571 287 10 39
"91" 3 3 1 2 0 -40.0833333333333 -18.5833333333333 23.8756353060404 182.978098665511 31.3659992218018 21.5097500483195 171 43 155
"92" 1 3 2 2 0 -51.5833333333333 -28.25 16.6174376408259 335.722128559496 26.2889995574951 16.7792499860128 195 118 437
"93" 3 3 1 2 0 -46.4166666666667 -21.4166666666667 19.1833229064941 227.158067435067 28.7465000152588 16.1036667823792 268 19 97
"94" 3 2 1 3 0 -43.9166666666667 -21.0833333333333 18.9607186317444 205.672862757134 27.6770000457764 16.2500418027242 282 16 52
"95" 3 3 2 3 0 -40.4166666666667 -17.4166666666667 23.7512813011805 179.203710848062 31.6280002593994 21.27579164505 166 36 132
"96" 1 1 1 2 0 -49.9166666666667 -27.25 18.0544792811076 337.294198746557 27.8435001373291 15.9038750330607 172 105 382
"97" 2 2 2 3 0 -48.75 -25.9166666666667 20.4867445230484 298.046097238469 28.7468910217285 17.0509498914083 256 81 258
"98" 2 3 3 3 0 -50.5833333333333 -29.25 15.2488332986832 316.593446211732 24.142749786377 18.0896666844686 198 135 518
"99" 1 3 3 3 0 -48.4166666666667 -25.5833333333333 20.6994986136754 306.267720463625 28.8175926208496 17.3476854960124 277 83 297
"100" 2 2 1 2 0 -46.9166666666667 -21.9166666666667 20.6672188838323 235.948924882695 30.1550006866455 17.4914585749308 245 21 99
"101" 3 3 1 2 0 -50.25 -25.9166666666667 16.8732291261355 321.419516450166 26.6867504119873 12.978749593099 181 73 289
"102" 3 1 2 1 0 -50.25 -26.25 16.6193435788155 326.702930085538 26.7119998931885 12.7345416545868 168 80 301
"103" 1 1 3 2 0 -49.75 -28.9166666666667 19.1145624319712 330.266766176254 28.5952491760254 15.6633749008179 151 87 293
"104" 2 2 1 1 0 -40.9166666666667 -21.25 23.3386332988739 203.035883900953 31.3127994537354 20.8021332422892 158 29 102
"105" 3 3 3 3 0 -44.4166666666667 -22.9166666666667 19.507112344106 230.380510663641 28.79909324646 16.6251260439555 266 40 139
"106" 2 2 1 3 0 -49.9166666666667 -26.5833333333333 17.0124893983205 323.707060797011 26.4384994506836 13.2588330904643 167 84 303
"107" 2 2 3 2 0 -45.25 -21.5833333333333 19.4837083419164 247.965224026548 29.8207492828369 16.1732915242513 286 18 79
"108" 2 2 3 2 0 -41.4166666666667 -20.9166666666667 20.848072886467 220.706813863948 30.076000213623 17.976541519165 200 29 92
"109" 3 2 2 1 0 -42.5833333333333 -21.0833333333333 19.8931562105815 235.823302203127 29.6322498321533 16.7673331896464 248 18 62
"110" 3 2 2 3 0 -43.4166666666667 -19.5833333333333 20.5284685691198 219.696780209419 30.2945003509521 17.4994579950968 319 11 38
"111" 1 1 2 2 0 -51.4166666666667 -29.0833333333333 17.2621980508169 341.195775323447 26.1774997711182 15.060375213623 170 117 433
"112" 1 2 3 3 0 -50.0833333333333 -26.0833333333333 16.6540729006131 317.976186455962 26.451000213623 12.8620416323344 170 77 287
"113" 3 1 2 1 0 -39.9166666666667 -19.75 23.648943344752 197.32300076419 31.2549285888672 21.1755867004395 188 49 168
"114" 3 1 1 1 0 -40.75 -18.4166666666667 23.5021354754766 184.754710614846 31.8847503662109 21.0355416933695 179 29 115
"115" 2 2 2 1 0 -41.9166666666667 -22.4166666666667 22.9298309882482 216.578751633566 31.2137832641602 20.2768918673197 194 37 119
"116" 3 1 2 1 0 -49.0833333333333 -26.9166666666667 19.7789688507716 325.128538463406 28.9027500152588 16.2317501703898 203 92 310
"117" 3 3 3 1 0 -43.9166666666667 -21.9166666666667 18.4413646459579 218.797143339167 27.193000793457 15.6242917378743 272 19 64
"118" 3 1 1 3 0 -46.9166666666667 -23.5833333333333 17.9297395944595 238.119698361215 26.0540008544922 14.9441246986389 245 44 142
"119" 3 1 1 3 0 -40.75 -17.4166666666667 23.6092707316081 183.053111211847 31.8287506103516 21.0649998982747 172 29 103
"120" 1 1 3 1 0 -40.9166666666667 -17.5833333333333 23.6471978823344 184.575165489908 31.8857498168945 21.0963748296102 173 26 95
"121" 2 3 3 1 0 -43.25 -18.9166666666667 20.5089166164398 240.671595927409 30.1692504882812 17.1234583854675 287 12 37
"122" 2 2 2 1 0 -40.0833333333333 -17.0833333333333 22.8792604207993 167.885736546511 29.9307498931885 20.5494167009989 145 55 183
"123" 1 1 1 1 0 -48.75 -25.25 19.8386354049047 295.454143898324 28.214750289917 16.3372082710266 259 71 247
"124" 1 2 1 2 0 -49.0833333333333 -27.5833333333333 16.5994689663251 306.606376715155 25.8985004425049 13.3281668821971 214 92 324
"125" 1 2 1 3 0 -45.0833333333333 -22.25 18.5735105077426 277.505827920314 29.7862491607666 14.8245001633962 283 21 81
"126" 3 1 1 1 0 -46.25 -20.4166666666667 20.0689063072205 236.539132413911 30.1842498779297 16.7278750737508 295 15 57
"127" 1 2 3 1 0 -51.4166666666667 -26.9166666666667 16.1249374349912 328.190650030332 25.8889999389648 12.2302083969116 181 99 373
"128" 2 1 3 2 0 -50.0833333333333 -26.4166666666667 16.5368230342865 323.080629473286 26.2937507629395 12.7375000317891 166 81 298
"129" 2 3 2 1 0 -40.9166666666667 -20.9166666666667 23.3656353155772 209.03182361327 31.7474994659424 20.7493750254313 173 37 113
"130" 2 2 3 1 0 -41.9166666666667 -19.25 22.5540417830149 192.4191102639 31.4992504119873 19.9475833574931 218 19 65
"131" 2 2 1 2 0 -45.25 -22.25 16.783312578996 265.204456474727 27.9987506866455 13.2793751557668 305 25 97
"132" 3 3 3 2 0 -42.75 -20.75 19.3559479316076 240.641661503251 29.5939998626709 16.1207497914632 247 20 66
"133" 1 1 2 1 0 -41.0833333333333 -22.0833333333333 23.5934096972148 196.582029966311 31.0784320831299 21.3520695368449 151 30 123
"134" 2 2 1 2 0 -45.5833333333333 -22.0833333333333 19.3060205976168 258.017406979926 29.9820003509521 15.8532912731171 283 23 98
"135" 2 1 1 3 0 -47.0833333333333 -23.4166666666667 18.3698436419169 236.549497821331 26.5512504577637 15.334583123525 233 36 129
"136" 3 2 2 3 0 -43.25 -18.25 18.7136667569478 194.630684388289 26.8360004425049 15.8528337478638 276 12 40
"137" 3 3 3 3 0 -49.25 -26.4166666666667 18.8708439270655 311.009720713615 27.7509994506836 15.4310415585836 200 80 278
"138" 1 3 2 2 0 -41.0833333333333 -17.4166666666667 23.4311145544052 186.25785879285 31.7430000305176 20.838374932607 171 23 81
"139" 3 1 2 2 0 -41.0833333333333 -21.0833333333333 23.320822874705 211.660202581322 31.8007507324219 20.6594581604004 174 32 100
"140" 2 1 3 3 0 -41.9166666666667 -20.0833333333333 19.9365313053131 224.115329041404 30.0890007019043 16.9163751602173 221 18 77
"141" 2 1 1 3 0 -50.75 -29.0833333333333 15.6310624480247 317.545653087598 24.6070003509521 13.6590836048126 190 129 491
"142" 1 2 3 3 0 -50.25 -29.4166666666667 15.7707915902138 311.130864042015 24.3215007781982 16.8339996337891 185 126 471
"143" 3 2 2 1 0 -43.25 -19.25 20.9250416755676 232.717052776312 30.7325000762939 17.6975000699361 301 11 37
"144" 2 3 1 2 0 -42.0833333333333 -20.5833333333333 18.3705104192098 232.517260414284 28.3595008850098 15.2497501373291 233 19 72
"145" 2 2 1 3 0 -49.25 -27.5833333333333 15.8987084031105 306.208966967712 25.0757503509521 12.5672082901001 204 95 336
"146" 3 1 3 3 0 -47.25 -22.0833333333333 21.4365417162577 232.886121371465 31.0955009460449 18.3098335266113 242 19 95
"147" 1 2 1 1 0 -45.4166666666667 -21.4166666666667 19.5327709515889 247.730371453729 29.6940002441406 16.214250087738 275 21 90
"148" 3 1 1 1 0 -51.25 -28.4166666666667 16.6008749405543 327.976191807274 26.0327491760254 16.8471665382385 184 115 425
"149" 3 3 2 3 0 -41.75 -19.75 21.6131459077199 208.559458185376 30.9965000152588 18.8127498626709 212 20 76
"150" 2 2 3 2 0 -40.4166666666667 -16.5833333333333 21.8772500356038 167.865831946374 29.2950000762939 19.4732085863749 130 41 127
"151" 1 3 2 1 0 -44.0833333333333 -22.4166666666667 20.5311145782471 241.548505969985 29.9957504272461 17.3825414975484 241 19 69
"152" 1 2 3 1 0 -47.4166666666667 -22.25 20.5483229955037 238.076202068415 29.5057506561279 17.3404582341512 249 21 83
"153" 1 1 2 1 0 -42.25 -19.9166666666667 20.1129270792007 223.364140873512 30.2029991149902 17.0825419425964 234 14 60
"154" 3 1 3 2 0 -51.9166666666667 -27.9166666666667 17.7622500260671 349.530750124763 27.7250003814697 17.8286250432332 198 119 414
"155" 1 3 3 3 0 -43.5833333333333 -22.25 20.3163124720256 230.948538897244 29.1504993438721 17.3887915611267 232 27 90
"156" 3 3 2 1 0 -43.5833333333333 -18.4166666666667 18.9512292544047 191.528668367386 27.0610008239746 16.2351665496826 283 8 29
"157" 3 1 1 3 0 -47.25 -23.4166666666667 18.491281191508 239.299204012468 26.5007495880127 15.4028334617615 233 35 125
"158" 1 2 2 1 0 -43.25 -22.25 20.0118854045868 227.107189346426 29.005500793457 17.1697498957316 262 34 116
"159" 1 2 1 3 0 -49.9166666666667 -28.5833333333333 14.383854051431 294.294876962461 23.0572490692139 12.6148747603099 166 113 401
"160" 2 2 1 2 0 -43.9166666666667 -19.0833333333333 21.0829062859217 215.294202790217 30.6655006408691 18.084458510081 264 6 22
"161" 1 1 3 2 0 -51.75 -27.5833333333333 17.9067187110583 346.986100598767 27.7922496795654 17.9251667658488 198 110 376
"162" 3 2 1 2 0 -40.25 -19.4166666666667 23.5484687487284 194.782685048218 31.3699989318848 21.6114168167114 187 36 140
"163" 3 1 1 1 0 -40.9166666666667 -19.4166666666667 22.261125087738 192.886254170143 30.7075004577637 19.7230002085368 195 32 113
"164" 1 2 2 3 0 -42.75 -21.5833333333333 21.3514375686646 231.375572041758 30.8567504882812 18.3685417175293 245 16 54
"165" 1 1 1 2 0 -51.4166666666667 -28.4166666666667 16.8467604319255 334.673705778628 26.4829998016357 17.0645834604899 188 116 434
"166" 2 3 3 1 0 -49.9166666666667 -27.0833333333333 17.7946979602178 335.461160350353 27.4617500305176 15.6403336524963 171 103 378
"167" 2 2 2 2 0 -45.5833333333333 -19.9166666666667 21.1693853537242 236.093716830077 31.9217491149902 17.8181667327881 288 12 48
"168" 2 1 3 3 0 -42.9166666666667 -19.5833333333333 19.7952186663946 220.945868001163 29.21875 16.7607083320618 310 13 42
"169" 2 1 1 2 0 -45.4166666666667 -19.5833333333333 21.4938228925069 217.841872450436 31.6542491912842 18.4168750445048 280 10 35
"170" 2 2 3 3 0 -50.0833333333333 -28.9166666666667 15.0468437870344 294.265074474306 23.63450050354 13.3711250623067 171 124 426
"171" 3 3 3 3 0 -45.4166666666667 -23.75 20.777527252833 250.987559515526 29.7684421539307 17.7060791651408 297 92 282
"172" 3 1 3 2 0 -43.5833333333333 -20.5833333333333 18.2424895366033 208.748745700572 26.9527492523193 15.4163750012716 291 15 56
"173" 2 1 2 2 0 -42.5833333333333 -21.25 21.7631564537684 233.121704360694 31.4120006561279 18.7077501614888 242 17 57
"174" 2 2 2 2 0 -39.9166666666667 -17.9166666666667 24.1118019421895 174.141608593882 31.1597499847412 21.8105834325155 160 60 198
"175" 3 3 3 2 0 -47.25 -24.0833333333333 19.7325104077657 256.889559474217 27.9559993743896 16.5378750165304 270 67 213
"176" 3 2 2 2 0 -50.0833333333333 -25.4166666666667 17.2339584032695 301.499005159941 27.0442504882812 13.5186665852865 208 78 282
"177" 1 3 3 2 0 -46.0833333333333 -20.0833333333333 20.3584166367849 244.694850996808 30.8619995117188 16.8711663881938 287 13 50
"178" 1 2 1 2 0 -46.75 -22.0833333333333 19.8096874157588 229.731554428493 29.1647491455078 16.7153747876485 266 23 110
"179" 1 2 1 2 0 -47.4166666666667 -22.4166666666667 20.2503229777018 246.111808611319 29.0237503051758 16.9367497762044 242 21 83
"180" 2 1 1 1 0 -45.25 -23.9166666666667 20.4060343901316 250.919964799936 29.1146545410156 17.3619252840678 308 91 302
"181" 2 3 1 1 0 -41.75 -22.75 22.8666665554047 199.742279057454 28.7000007629395 20.5666662851969 156 47 175
"182" 3 2 1 1 0 -46.5833333333333 -21.25 19.1366873979568 228.159315520062 28.5160007476807 16.0158332188924 265 18 97
"183" 2 2 2 3 0 -44.4166666666667 -22.25 17.5988230705261 241.427651632247 27.2137508392334 14.4234167734782 285 21 75
"184" 3 3 3 2 0 -50.4166666666667 -27.9166666666667 15.6160312891006 319.082576372667 24.7730007171631 12.0125414530436 145 101 347
"185" 2 2 1 2 0 -49.4166666666667 -26.0833333333333 16.3343021074931 308.442960223731 25.3649997711182 12.6671667098999 171 78 278
"186" 1 1 2 2 0 -44.75 -19.5833333333333 21.0127290487289 203.702037303296 30.8374996185303 18.2122499148051 292 9 55
"187" 1 1 1 3 0 -46.75 -20.5833333333333 20.6065521240234 221.796154530834 29.6879997253418 17.5082502365112 287 13 50
"188" 2 2 2 1 0 -51.4166666666667 -29.25 16.7888750433922 337.342699169526 25.5275001525879 14.633208433787 167 120 427
"189" 2 2 3 2 0 -51.75 -29.0833333333333 18.1566250721614 354.521300508468 27.3285007476807 14.2667498588562 158 114 366
"190" 2 1 1 1 0 -45.25 -21.0833333333333 20.0797082980474 237.626114748108 29.9872493743896 16.8502915700277 288 22 71
"191" 1 2 3 1 0 -46.75 -22.25 19.5856770674388 228.157774332215 28.4472503662109 16.5249582926432 267 23 107
