"group.all" "pa" "lon" "lat" "X1Km_.eigenvariables.1" "X1Km_.eigenvariables.2" "X1Km_.eigenvariables.3" "X1Km_.eigenvariables.4" "X1Km_.eigenvariables.5" "X1Km_.eigenvariables.6" "X1Km_.eigenvariables.7" "X1Km_.eigenvariables.8" "X1Km_.eigenvariables.9" "X1Km_.eigenvariables.10"
"1110" 1 0 -45.775559082 -16.098896484 16.9756033385144 -14.5207019351035 -14.1070960700135 7.1705241062289 -5.1833041777185 1.07604801400578 -0.156258616477225 8.42089171932474 2.6610346610202 4.14506003910283
"12" 3 0 -46.095559082 -15.688896484 17.3522966237338 -14.4217234694745 -13.8554399804527 6.41044637174376 -5.42845995315381 1.12646903166178 -0.377019885837788 8.55402505061974 2.86365928895639 3.59737738736246
"13" 2 0 -42.285559082 -14.738896484 15.2559046737859 -13.7126630776381 -11.6656326830241 5.52061067299766 -1.84900727090123 2.69256941225291 -0.51349221286633 8.57767119846848 3.65940694883602 3.49725953947219
"1410" 1 0 -46.005559082 -22.328896484 14.3158857416267 -9.95045063723 -14.3404540107792 5.84449741553122 -4.58048559741407 0.0658623459549326 0.420727962983623 7.72927438625315 4.05390760448863 3.04496763901039
"1510" 3 0 -45.255559082 -21.638896484 14.7227832263181 -10.5265317694564 -15.0497372757575 7.16693958743678 -2.24259781335737 0.118629210432033 1.14062444237388 7.90845149419778 1.84433158299648 2.96582998632703
"1610" 2 0 -51.595559082 -18.048896484 17.8587827365418 -12.1271274447478 -13.7386804288477 5.76862796554621 -4.68366194337803 0.601751872085314 0.177782056252607 8.44806239371589 3.0962572660648 3.31253160629834
"1710" 2 0 -51.005559082 -29.238896484 13.3901631362401 -4.18712273657108 -11.6635437258164 6.30363700484907 -5.10156345143046 1.1824171622439 -0.785637253423796 6.89573699161171 3.00200091812341 4.19993593859541
"1810" 1 0 -46.575559082 -17.438896484 18.2267259155589 -13.0651670545257 -13.9230452121872 7.45950118619915 -2.44814182012937 1.45729077750701 0.310300675209043 8.7263041573061 2.81590368645345 2.63897264094436
"1910" 3 0 -42.895559082 -13.108896484 16.9353773678358 -15.5300526607923 -12.2370502720744 6.32311894757141 -4.7183333112782 1.42986348489011 -0.0815487706106444 9.59333895956593 1.91056602827337 4.13897221751627
"2010" 2 0 -40.595559082 -7.668896484 16.2795022130996 -14.9412819763664 -10.7310502964463 5.60864843947529 -3.84531101736578 0.568398015316456 0.688705089063494 8.53534784799989 2.55095814815204 4.05466143114014
